Kabupaten_Kota,Angka_Harapan_Hidup,Garis_Kemiskinan,Indeks_Pembangunan_Manusia,Rata_Lama_Sekolah
kota sibolga,70.39,333923.0,76.19,9.73
kota singkawang,67.86,320211.0,70.66,7.14
kota solok,70.05,342001.0,76.85,10.72
kota sorong,72.8,536584.0,78.92,10.82
kota subulussalam,66.63,241189.0,70.6,6.65
kota sukabumi,70.36,380856.0,76.16,8.52
kota sungai penuh,71.19,274586.0,78.11,8.97
kota surabaya,72.13,372511.0,78.97,10.05
kota surakarta,72.75,371918.0,79.1,10.25
kota tangerang,68.56,398513.0,76.05,9.82
kota tangerang selatan,69.17,378303.0,77.13,11.48
kota tanjung balai,71.25,306029.0,75.44,8.9
kota tanjung pinang,69.75,498800.0,76.19,9.89
kota tasikmalaya,70.8,337841.0,75.71,8.44
kota tebing tinggi,71.68,337049.0,77.96,10.04
kota tegal,69.42,333553.0,75.02,8.05
kota ternate,71.66,418472.0,78.44,11.06
kota tidore kepulauan,65.54,314328.0,70.8,8.61
kota tomohon,73.13,285307.0,77.82,10.0
kota tual,69.41,291769.0,77.91,9.54
kota yogyakarta,73.71,353602.0,80.51,11.36
kotawaringin barat,71.79,273467.0,75.11,7.58
kotawaringin timur,69.92,300929.0,75.4,7.59
kuantan singingi,68.61,378811.0,74.77,7.7
kubu raya,66.83,269835.0,69.32,6.16
kudus,69.83,299097.0,74.09,7.73
kulon progo,75.03,259945.0,75.95,8.02
kuningan,68.11,261858.0,72.47,6.98
kupang,65.94,252934.0,67.74,6.71
kutai barat,70.63,364224.0,74.61,7.89
kutai kartanegara,68.39,362637.0,74.8,8.41
kutai timur,69.17,397482.0,74.23,8.56
labuhan batu,70.25,285004.0,75.71,8.6
labuhan batu selatan,70.67,290734.0,75.48,8.25
labuhan batu utara,70.47,316418.0,75.7,8.1
lahat,68.99,313687.0,72.68,7.76
lamandau,67.45,312204.0,73.29,7.55
lamongan,68.98,279166.0,71.81,7.06
lampung,70.09,295395.0,72.87,7.32
lampung barat,67.81,310126.0,70.37,7.21
lampung selatan,69.05,295601.0,71.25,6.89
lampung tengah,69.72,313940.0,72.3,7.04
lampung timur,70.74,291405.0,72.14,7.15
lampung utara,68.49,322835.0,71.7,7.42
landak,66.35,252336.0,69.58,6.99
langkat,69.25,289396.0,74.38,7.69
lanny jaya,66.7,338536.0,51.07,2.55
lebak,63.62,214047.0,68.82,5.81
lebong,67.49,286581.0,71.58,7.35
lembata,66.88,267510.0,69.17,7.07
lima puluh kota,69.2,300037.0,72.54,7.58
lingga,70.48,338049.0,72.41,5.4
lombok barat,62.13,313632.0,63.82,5.38
lombok tengah,62.44,306311.0,63.51,5.36
lombok timur,62.14,321249.0,65.78,5.94
lombok utara,61.72,332073.0,61.9,4.89
lumajang,67.95,228796.0,69.5,5.88
luwu,74.68,229799.0,75.33,7.36
luwu timur,71.29,231447.0,73.96,7.78
luwu utara,72.03,240721.0,75.36,7.02
madiun,69.68,256567.0,71.46,6.74
magelang,70.63,235430.0,73.67,6.88
magetan,71.96,253040.0,74.34,7.43
majalengka,67.38,353727.0,71.9,6.72
majene,66.11,263402.0,73.16,7.7
malang,69.7,245120.0,72.34,6.59
maluku,67.88,346599.0,72.7,8.81
maluku barat daya,64.59,289248.0,67.67,7.32
maluku tengah,66.09,355246.0,71.81,8.48
maluku tenggara,68.47,292513.0,73.6,8.51
maluku utara,66.97,291352.0,70.63,8.27
mamasa,71.48,197930.0,72.56,6.89
mamberamo raya,66.34,498326.0,60.64,4.42
mamberamo tengah,66.62,289262.0,50.11,2.18
mamuju,69.08,187013.0,71.38,6.8
mandailing natal,63.79,265043.0,71.72,7.52
manggarai,67.74,246366.0,68.69,6.76
manggarai barat,66.84,245425.0,67.38,6.65
manggarai timur,68.19,245077.0,67.62,6.04
manokwari,68.73,475559.0,68.61,7.58
mappi,66.66,240527.0,52.08,5.92
maros,73.55,278520.0,73.48,7.14
maybrat,66.95,283440.0,67.6,5.92
melawi,68.29,340889.0,69.86,5.81
merangin,69.15,284393.0,73.28,7.0
merauke,63.85,261300.0,67.48,8.03
mesuji,68.5,296102.0,68.79,5.65
mimika,70.88,510154.0,70.39,8.83
minahasa,72.8,216181.0,77.06,9.16
minahasa selatan,72.76,244813.0,75.82,8.25
minahasa tenggara,70.34,257210.0,73.79,8.24
minahasa utara,73.09,241801.0,77.23,8.99
mojokerto,71.13,280779.0,75.26,7.57
morowali,65.95,316400.0,72.27,7.87
muara enim,68.11,275302.0,72.06,7.16
muaro jambi,69.49,233773.0,74.1,7.56
mukomuko,68.17,307670.0,71.79,7.33
muna,66.66,253043.0,68.97,6.96
murung raya,68.28,328986.0,73.98,7.15
musi banyuasin,70.44,347046.0,73.67,7.17
musi rawas,65.56,326798.0,69.57,6.16
nabire,68.05,423864.0,68.49,8.87
nagan raya,70.26,353231.0,71.5,7.78
nagekeo,63.89,252083.0,67.93,6.98
natuna,68.57,264855.0,72.25,7.87
ngada,67.46,248760.0,70.89,7.47
nganjuk,69.82,295806.0,72.49,7.15
ngawi,70.97,233596.0,70.86,6.27
nias,70.12,276654.0,69.93,4.71
nias barat,69.4,294770.0,67.91,5.25
nias selatan,70.86,213412.0,68.58,4.28
nias utara,69.39,309886.0,69.39,5.55
nusa tenggara barat,63.21,278514.0,67.73,6.54
nusa tenggara timur,68.05,251080.0,68.77,6.76
ogan ilir,66.9,313725.0,70.89,7.01
ogan komering ilir,68.52,257481.0,71.82,6.41
ogan komering ulu,69.7,308219.0,74.42,7.57
ogan komering ulu selatan,69.59,235288.0,72.67,7.26
ogan komering ulu timur,68.56,227516.0,71.19,6.82
pacitan,72.18,215482.0,73.36,6.32
padang lawas,67.19,237735.0,73.27,8.14
padang lawas utara,66.76,243213.0,73.96,8.41
padang pariaman,69.44,309999.0,72.93,6.86
pakpak bharat,68.2,207796.0,72.54,8.25
pamekasan,65.19,256586.0,67.17,5.68
pandeglang,64.35,230364.0,69.64,6.44
pangkajene dan kepulauan,69.16,235875.0,71.26,7.1
paniai,68.36,331280.0,60.81,3.73
papua,69.13,339096.0,66.25,5.74
papua barat,69.14,397003.0,70.62,6.91
parigi moutong,66.02,291697.0,70.33,6.68
pasaman,68.17,262825.0,74.1,7.6
pasaman barat,65.77,311657.0,71.39,7.5
pasuruan,64.81,274486.0,69.77,6.08
pati,73.05,314609.0,74.58,6.27
pegunungan bintang,66.24,362626.0,50.32,1.88
pekalongan,69.96,293039.0,73.14,6.37
pelalawan,69.17,406420.0,74.27,7.74
pemalang,68.52,271861.0,71.26,5.72
penajam paser utara,71.94,333861.0,74.82,7.3
pesawaran,68.71,284897.0,71.25,6.99
pesisir selatan,67.92,308472.0,72.98,8.05
pidie,70.34,361707.0,73.32,8.15
pidie jaya,69.76,373497.0,73.69,7.95
pinrang,72.81,221717.0,74.87,7.43
pohuwato,68.17,212629.0,71.32,6.53
polewali mandar,65.62,277609.0,69.17,6.67
ponorogo,70.85,239963.0,72.61,6.86
poso,65.52,343385.0,71.54,8.42
pringsewu,68.77,315779.0,73.22,7.51
probolinggo,62.1,328407.0,65.19,5.61
pulang pisau,67.79,294250.0,73.18,7.55
pulau morotai,66.07,200015.0,67.03,6.81
puncak,67.85,438789.0,50.18,1.4
puncak jaya,67.86,428465.0,68.68,2.86
purbalingga,71.08,265262.0,73.49,6.68
purwakarta,67.74,271270.0,72.75,7.11
purworejo,71.44,273481.0,74.18,7.57
raja ampat,67.07,273436.0,66.08,7.16
rejang lebong,68.03,320366.0,72.63,7.59
rembang,70.64,284160.0,73.53,6.7
riau,71.73,350129.0,77.25,8.38
rokan hilir,67.41,296770.0,73.45,7.42
rokan hulu,67.28,358295.0,73.87,7.38
rote ndao,68.74,235613.0,67.7,6.11
sabu raijua,68.01,277403.0,57.74,5.24
sambas,62.31,278704.0,66.81,5.48
samosir,70.01,228767.0,75.02,8.52
sampang,64.52,261972.0,62.39,3.34
sanggau,69.39,222877.0,70.3,6.35
sarmi,66.58,333493.0,68.18,7.27
sarolangun,69.85,336577.0,74.08,7.12
sekadau,67.71,229464.0,68.99,6.16
seluma,66.26,284599.0,68.4,7.13
semarang,72.9,263352.0,75.48,7.28
seram bagian barat,66.88,295465.0,70.75,8.37
seram bagian timur,66.35,287989.0,69.11,6.9
serang,64.39,218862.0,70.25,6.65
serdang bedagai,69.27,288126.0,74.41,8.02
seruyan,68.12,321392.0,73.36,6.9
siak,72.07,336671.0,77.44,8.81
siau tagulandang biaro,69.0,231807.0,74.56,8.09
sidenreng rappang,73.38,235406.0,74.05,7.08
sidoarjo,71.43,329946.0,78.15,10.03
sigi,66.0,235599.0,68.96,8.07
sijunjung,67.63,290564.0,72.15,7.3
sikka,69.66,231250.0,69.18,6.49
simalungun,69.24,270588.0,74.55,8.37
simeulue,63.32,305600.0,70.76,8.55
sinjai,72.83,215481.0,71.45,6.97
sintang,69.04,358693.0,69.81,6.26
situbondo,63.95,240085.0,65.73,5.28
